MOUSE_GENE_SYM	HUMAN_GENE_SYM
Spag4	SPAG4
Spi1	SPI1
Sptan1	SPTAN1
Sptbn1	SPTBN1
Sqle	SQLE
Srp19	SRP19
Srpr	SRPRA
Trim21	TRIM21
Ssb	SSB
Ssr1	SSR1
Ssr2	SSR2
Stac	STAC
Stat6	STAT6
Stc1	STC1
Nek4	NEK4
Strn	STRN
Stx5a	STX5
Stxbp1	STXBP1
Supt5	SUPT5H
Supv3l1	SUPV3L1
Surf1	SURF1
Suv39h1	SUV39H1
Sycp1	SYCP1
Syk	SYK
Syp	SYP
T	TBXT
Tac1	TAC1
Adam17	ADAM17
Tagln	TAGLN
Tal1	TAL1
Tapbp	TAPBP
Tbcc	TBCC
Tbp	TBP
Tcf4	TCF4
Tcf3	TCF3
Gcfc2	GCFC2
Nfe2l2	NFE2L2
Tcf21	TCF21
Tdgf1	TDGF1
Tead1	TEAD1
Tmbim6	TMBIM6
Tfap2a	TFAP2A
Tfap2e	TFAP2E
Tfap2c	TFAP2C
Tfap4	TFAP4
Arfrp1	ARFRP1
Tff1	TFF1
Tff3	TFF3
Tfr2	TFR2
Tfrc	TFRC
Tg	TG
Tgfa	TGFA
Tgfb2	TGFB2
Tgfb3	TGFB3
Lefty2	LEFTY2
Tgfbr2	TGFBR2
Tgfbr3	TGFBR3
Thbs2	THBS2
Thrsp	THRSP
Tiam1	TIAM1
Timp2	TIMP2
Tjp1	TJP1
Icam5	ICAM5
Sec62	SEC62
Tspan4	TSPAN4
Gpr137b	GPR137B
Lbr	LBR
Cldn5	CLDN5
Tnni1	TNNI1
Top1	TOP1
Tpd52l1	TPD52L1
Tpd52l2	TPD52L2
Tpp2	TPP2
Nr2c2	NR2C2
Hsp90b1	HSP90B1
Trpc1	TRPC1
Eipr1	EIPR1
Phlda2	PHLDA2
Tsta3	TSTA3
Ttc1	TTC1
Dnajc3	DNAJC3
Ttc3	TTC3
Nkx2-1	NKX2-1
Ttk	TTK
Tufm	TUFM
Tulp1	TULP1
Tulp2	TULP2
Tnfsf4	TNFSF4
Tnfrsf4	TNFRSF4
Txk	TXK
Uba7	UBA7
Ube2d2a	UBE2D2
Ube2g1	UBE2G1
Sumo1	SUMO1
Ucn	UCN
Ucp2	UCP2
Ucp3	UCP3
Scgb1a1	SCGB1A1
Ugdh	UGDH
Umod	UMOD
Upp1	UPP1
Uqcrc1	UQCRC1
Usf2	USF2
Usp1	USP1
Vav2	VAV2
Vbp1	VBP1
Vegfa	VEGFA
Vgf	VGF
Vim	VIM
Vip	VIP
Vipr2	VIPR2
Vrk1	VRK1
Vsnl1	VSNL1
Coro2a	CORO2A
Wnt8b	WNT8B
Wnt9b	WNT9B
Xpo1	XPO1
Xrcc4	XRCC4
Yy1	YY1
Zfp36	ZFP36
Zbtb14	ZBTB14
Zfx	ZFX
Zic1	ZIC1
Cnbp	CNBP
Zfp105	ZNF35
Zfp523	ZNF76
Zfp169	ZNF169
Zbtb17	ZBTB17
Zfp13	ZNF205
Dnali1	DNALI1
Ptp4a1	PTP4A1
Pax8	PAX8
Fzd5	FZD5
Scg2	SCG2
Usp7	USP7
Dek	DEK
Rassf7	RASSF7
Cul5	CUL5
Mfap5	MFAP5
Gpr68	GPR68
Nrip1	NRIP1
Naa10	NAA10
Axin1	AXIN1
Cdc45	CDC45
Fzd6	FZD6
Fzd9	FZD9
Hyal3	HYAL3
Nme5	NME5
Pip4k2b	PIP4K2B
Pla2g6	PLA2G6
Pla2g10	PLA2G10
Slc25a11	SLC25A11
Ulk1	ULK1
Anxa9	ANXA9
Ltbp4	LTBP4
Zfp282	ZNF282
Nsmaf	NSMAF
Doc2a	DOC2A
Dhx16	DHX16
Cul4b	CUL4B
Cul3	CUL3
Cul2	CUL2
Cul1	CUL1
Foxn1	FOXN1
Tpst2	TPST2
Tpst1	TPST1
Klf11	KLF11
Aurka	AURKA
Fkbp6	FKBP6
Gpr65	GPR65
Rae1	RAE1
Ofd1	OFD1
Sema7a	SEMA7A
Cilp	CILP
Slc4a7	SLC4A7
Rgs5	RGS5
Map4k3	MAP4K3
Ppfibp1	PPFIBP1
Slc43a1	SLC43A1
Pkp4	PKP4
Pik3r3	PIK3R3
Pex3	PEX3
Cntnap1	CNTNAP1
Enc1	ENC1
Nipsnap1	NIPSNAP1
Itga10	ITGA10
Ikbkg	IKBKG
Elp1	ELP1
Hat1	HAT1
Gcm1	GCM1
Dgke	DGKE
Ybx3	YBX3
Cpz	CPZ
Cops3	COPS3
Chst1	CHST1
Cbx4	CBX4
Bcas1	BCAS1
Barx2	BARX2
Agps	AGPS
Pir	PIR
Cggbp1	CGGBP1
Bhlhe40	BHLHE40
Tcap	TCAP
Prpf18	PRPF18
Kmo	KMO
Yars	YARS1
Pdxk	PDXK
Khsrp	KHSRP
Pdlim4	PDLIM4
Cask	CASK
Akr7a5	AKR7A2
Prkra	PRKRA
Stk16	STK16
Scarf1	SCARF1
Ly6d	LY6D
Olfr2	OR6A2
Tnfsf11	TNFSF11
Rgs20	RGS20
Fam193a	FAM193A
Klf7	KLF7
Plpp2	PLPP2
Stc2	STC2
Uso1	USO1
Cadps	CADPS
Pde8b	PDE8B
Psmg1	PSMG1
Rfxank	RFXANK
Jrk	JRK
Skap1	SKAP1
Unc5c	UNC5C
Rtca	RTCA
Ssna1	SSNA1
Oasl1	OASL
Aoc3	AOC3
Dchs1	DCHS1
Kcnk5	KCNK5
Chrd	CHRD
Numb	NUMB
Socs1	SOCS1
Irs2	IRS2
Eif3a	EIF3A
Eif3b	EIF3B
Eif3c	EIF3C
Eif3d	EIF3D
Eif3f	EIF3F
Eif3g	EIF3G
Eif3h	EIF3H
Eif3i	EIF3I
Eif4g3	EIF4G3
Stx16	STX16
Stx11	STX11
Becn1	BECN1
Jrkl	JRKL
S1pr4	S1PR4
Mrpl40	MRPL40
Dnah11	DNAH11
B4galt2	B4GALT2
B3galt4	B3GALT4
Tradd	TRADD
Mbtps1	MBTPS1
Edf1	EDF1
Snx30	SNX30
Uri1	URI1
Eed	EED
Ctnnal1	CTNNAL1
Rnmt	RNMT
Ripk1	RIPK1
Cradd	CRADD
Tnfsf14	TNFSF14
Tnfsf10	TNFSF10
Adam23	ADAM23
Adam15	ADAM15
Adam7	ADAM7
Tnfrsf14	TNFRSF14
Fadd	FADD
Napg	NAPG
Napa	NAPA
Mtmr1	MTMR1
Mpdz	MPDZ
Riok3	RIOK3
Matn4	MATN4
Rgs9	RGS9
Dlk1	DLK1
Fpgt	FPGT
Tnfrsf11a	TNFRSF11A
Scel	SCEL
Pex11b	PEX11B
Suclg2	SUCLG2
Sucla2	SUCLA2
Il18rap	IL18RAP
Il1rl2	IL1RL2
Il18r1	IL18R1
Il1rl1	IL1RL1
Galr2	GALR2
Dpm1	DPM1
Banf1	BANF1
Fgf18	FGF18
Sap30	SAP30
Inpp4a	INPP4A
Fgf17	FGF17
Nrp2	NRP2
Nrp1	NRP1
Tmem11	TMEM11
Socs2	SOCS2
Ggh	GGH
Ccn5	CCN5
Ccn4	CCN4
Akap4	AKAP4
Asap2	ASAP2
Proz	PROZ
Ldb1	LDB1
St3gal5	ST3GAL5
Ier3	IER3
Arhgef7	ARHGEF7
Sgpl1	SGPL1
Cdc16	CDC16
Zpr1	ZPR1
Mcm3ap	MCM3AP
Eif2b5	EIF2B5
Eif2s2	EIF2S2
Ap1s2	AP1S2
Bcl10	BCL10
Foxh1	FOXH1
Mbd4	MBD4
Mbd3	MBD3
Mbd2	MBD2
Skap2	SKAP2
Wasf1	WASF1
St13	ST13
Top3b	TOP3B
Cdk5r2	CDK5R2
Kynu	KYNU
Ap3d1	AP3D1
Stbd1	STBD1
Atp6v0e	ATP6V0E1
Hap1	HAP1
Slc25a14	SLC25A14
Mpzl1	MPZL1
Map3k14	MAP3K14
Socs3	SOCS3
Ch25h	CH25H
Rnf8	RNF8
Rhbdl1	RHBDL1
Tm4sf5	TM4SF5
Ccrl2	CCRL2
Sema5a	SEMA5A
Uba3	UBA3
Ube2m	UBE2M
Myom2	MYOM2
Spag9	SPAG9
Dok2	DOK2
Sh2d2a	SH2D2A
Aip	AIP
Gprc5a	GPRC5A
Slc13a2	SLC13A2
Tnk1	TNK1
Bbox1	BBOX1
Pax2	PAX2
Npr2	NPR2
Nfkb1	NFKB1
Osmr	OSMR
Fcgr2b	FCGR2B
Gjb2	GJB2
Adcy3	ADCY3
Ampd2	AMPD2
Arrb1	ARRB1
Atic	ATIC
Atox1	ATOX1
Atp5a1	ATP5F1A
Atp6v0b	ATP6V0B
B2m	B2M
Bcl2l2	BCL2L2
Bnip3	BNIP3
Bysl	BYSL
C3ar1	C3AR1
Kyat3	KYAT3
Ccng1	CCNG1
Cdh16	CDH16
Cdkn1b	CDKN1B
Ap2m1	AP2M1
Ap2s1	AP2S1
Cox8a	COX8A
Crybb3	CRYBB3
Dctn1	DCTN1
Ddit3	DDIT3
Dntt	DNTT
Echs1	ECHS1
Efnb2	EFNB2
Eif2s1	EIF2S1
Eif4ebp1	EIF4EBP1
Eif4ebp2	EIF4EBP2
Emx2	EMX2
Eya4	EYA4
Efemp1	EFEMP1
Fcer1g	FCER1G
Fcgrt	FCGRT
Fdxr	FDXR
Fen1	FEN1
Fgf11	FGF11
Fgf13	FGF13
Fgf14	FGF14
Fkbp5	FKBP5
Flt3	FLT3
Gip	GIP
Gng11	GNG11
Gps1	GPS1
Habp2	HABP2
Kcnmb1	KCNMB1
Lbp	LBP
Cited1	CITED1
Myo9b	MYO9B
Ndufb7	NDUFB7
Drg1	DRG1
Prkar2a	PRKAR2A
Pspn	PSPN
Pyy	PYY
Rab27a	RAB27A
Rbp2	RBP2
Rrad	RRAD
Sdha	SDHA
Shmt1	SHMT1
Slc1a2	SLC1A2
Snrpd3	SNRPD3
Srebf1	SREBF1
Tank	TANK
Wars	WARS1
Usp2	USP2
Aifm1	AIFM1
Syngr3	SYNGR3
Fibp	FIBP
Ebag9	EBAG9
Pttg1	PTTG1
Ube2l6	UBE2L6
Gpr50	GPR50
Mfhas1	MFHAS1
Cyth3	CYTH3
S1pr2	S1PR2
Atp6v1f	ATP6V1F
Socs6	SOCS6
Cd83	CD83
Klf4	KLF4
Trip13	TRIP13
Jmjd1c	JMJD1C
Glp2r	GLP2R
Eftud2	EFTUD2
Prlhr	PRLHR
Rab28	RAB28
Rab9b	RAB9B
Slc9a3r1	SLC9A3R1
Plaa	PLAA
Slc22a13	SLC22A13
Tgfbrap1	TGFBRAP1
Cd101	CD101
Recql4	RECQL4
Selenof	SELENOF
Sema4f	SEMA4F
Med21	MED21
Fads2	FADS2
Chst2	CHST2
Med17	MED17
Med27	MED27
Med7	MED7
Homer1	HOMER1
Chst3	CHST3
Akap6	AKAP6
Med20	MED20
Pigl	PIGL
Pmpcb	PMPCB
Eef1e1	EEF1E1
Bag3	BAG3
Gtpbp1	GTPBP1
Cytip	CYTIP
Nfe2l3	NFE2L3
Cartpt	CARTPT
Rin1	RIN1
Gda	GDA
Traf4	TRAF4
Abcb7	ABCB7
Tgfbr1	TGFBR1
Rhoh	RHOH
Arr3	ARR3
Arrb2	ARRB2
Bad	BAD
Bag1	BAG1
Bcl9	BCL9
Bcr	BCR
Bcs1l	BCS1L
Bnip2	BNIP2
Braf	BRAF
Bst1	BST1
Osgin2	OSGIN2
Ldlrad4	LDLRAD4
Pttg1ip	PTTG1IP
Ccng2	CCNG2
Cd74	CD74
Ube2r2	UBE2R2
Cebpa	CEBPA
Clcn2	CLCN2
Ccr6	CCR6
Cnn2	CNN2
Col12a1	COL12A1
Copa	COPA
Cox6a1	COX6A1
Cox11	COX11
Crabp1	CRABP1
Creb1	CREB1
Vcan	VCAN
Ncan	NCAN
Nkx2-5	NKX2-5
Ctbs	CTBS
Cyp8b1	CYP8B1
Dag1	DAG1
Dap	DAP
Dbn1	DBN1
Ddx6	DDX6
Dffa	DFFA
Dffb	DFFB
Gsdme	GSDME
Sept2	SEPTIN2
Dlx2	DLX2
Dmpk	DMPK
Trdmt1	TRDMT1
Rcan1	RCAN1
Dusp1	DUSP1
Dusp2	DUSP2
Dusp5	DUSP5
E4f1	E4F1
Ecm1	ECM1
Efna1	EFNA1
Efnb1	EFNB1
Elf3	ELF3
Eps8	EPS8
Erbb2	ERBB2
Erh	ERH
Etfdh	ETFDH
Etv5	ETV5
Extl1	EXTL1
Acsl3	ACSL3
Dpp4	DPP4
Farsa	FARSA
Fdft1	FDFT1
Fgd1	FGD1
Fgf5	FGF5
Fgf10	FGF10
Gpc5	GPC5
Vegfd	VEGFD
Foxd1	FOXD1
Foxe1	FOXE1
Foxd2	FOXD2
Flot2	FLOT2
Naalad2	NAALAD2
Frg1	FRG1
Fut7	FUT7
Galnt2	GALNT2
Gng4	GNG4
Golga2	GOLGA2
Grb14	GRB14
Gtf2a2	GTF2A2
Hdgf	HDGF
Foxa1	FOXA1
Foxa3	FOXA3
Onecut1	ONECUT1
Idi1	IDI1
Ilk	ILK
Kif2a	KIF2A
Kif11	KIF11
Llgl2	LLGL2
Mcm2	MCM2
Meox1	MEOX1
Mgst3	MGST3
Mmp2	MMP2
Mybpc2	MYBPC2
Myt1	MYT1
Nap1l3	NAP1L3
Ncam2	NCAM2
Ndufa1	NDUFA1
Ndufa3	NDUFA3
Ndufb2	NDUFB2
Ndufb10	NDUFB10
Ndufc2	NDUFC2
Ndufs3	NDUFS3
Nfatc4	NFATC4
Notch4	NOTCH4
Ovol1	OVOL1
Prkn	PRKN
Pck2	PCK2
Gatb	GATB
Pigh	PIGH
Pik3c2g	PIK3C2G
Pknox1	PKNOX1
Pkp2	PKP2
Map4k2	MAP4K2
Rabggtb	RABGGTB
Scn2b	SCN2B
Sco1	SCO1
Ccl20	CCL20
Snrpd2	SNRPD2
Ro60	RO60
Stau1	STAU1
Tbca	TBCA
Tbx6	TBX6
Tgm2	TGM2
Tk2	TK2
Tm4sf4	TM4SF4
Top3a	TOP3A
Traf6	TRAF6
Tsn	TSN
Vipr1	VIPR1
Xpc	XPC
Fancg	FANCG
Dap3	DAP3
Rab7	RAB7A
Bag6	BAG6
Cdk2ap1	CDK2AP1
Pabpn1	PABPN1
Coil	COIL
Dpf1	DPF1
Usp9x	USP9X
Kdm5a	KDM5A
Axin2	AXIN2
Bap1	BAP1
Cavin2	CAVIN2
Rasal1	RASAL1
Mmp23	MMP23B
Ddx3x	DDX3X
Cdc23	CDC23
Herc2	HERC2
Clic3	CLIC3
Map3k6	MAP3K6
Ash2l	ASH2L
Rgn	RGN
Sparcl1	SPARCL1
Mtmr4	MTMR4
Nmi	NMI
Mta1	MTA1
Atp6v0d1	ATP6V0D1
Prpf4	PRPF4
Prpf3	PRPF3
Fam50a	FAM50A
Rabep1	RABEP1
Rrp9	RRP9
Arhgef1	ARHGEF1
Syngr1	SYNGR1
Nemf	NEMF
Cox7a2l	COX7A2L
Lpar2	LPAR2
Ap4m1	AP4M1
Arhgef2	ARHGEF2
Bub3	BUB3
Slc24a1	SLC24A1
Ddx21	DDX21
Etf1	ETF1
Slc33a1	SLC33A1
Mta2	MTA2
Lrat	LRAT
Dlgap2	DLGAP2
Dlg5	DLG5
Ccpg1	CCPG1
Crlf1	CRLF1
Gcm2	GCM2
Rgl2	RGL2
Itgb1bp1	ITGB1BP1
Bcl7c	BCL7C
Copb2	COPB2
Gpr37l1	GPR37L1
B4galt6	B4GALT6
B4galt5	B4GALT5
Ptgdr2	PTGDR2
Tceal1	TCEAL1
Vamp3	VAMP3
Snap29	SNAP29
Ndst3	NDST3
Txnl1	TXNL1
Slit2	SLIT2
Ube4a	UBE4A
Itgbl1	ITGBL1
Ppig	PPIG
Lonp1	LONP1
Rab33a	RAB33A
Adipoq	ADIPOQ
Zfyve9	ZFYVE9
Slc22a14	SLC22A14
Lpxn	LPXN
Pex16	PEX16
Snrnp40	SNRNP40
Arhgap29	ARHGAP29
Fam189a2	FAM189A2
Tjp2	TJP2
Ddx23	DDX23
Cyp7b1	CYP7B1
Hand1	HAND1
Cdyl	CDYL
Ecel1	ECEL1
Ncr1	NCR1
Med23	MED23
Agtr1a	AGTR1
Eif2ak3	EIF2AK3
Homer2	HOMER2
Arhgef6	ARHGEF6
Il27ra	IL27RA
Pcyt1b	PCYT1B
Atg5	ATG5
Pigb	PIGB
Cltc	CLTC
Fxr1	FXR1
Gal3st1	GAL3ST1
Gdf15	GDF15
Tbpl1	TBPL1
Mpdu1	MPDU1
Tmem59	TMEM59
Bag5	BAG5
Polr1c	POLR1C
Ptges	PTGES
Ei24	EI24
Cir1	CIR1
Igdcc3	IGDCC3
Apba3	APBA3
Cxcl14	CXCL14
Atp5j2	ATP5MF
Spag7	SPAG7
Sec22b	SEC22B
Macroh2a1	MACROH2A1
Nlrp3	NLRP3
Vps26b	VPS26B
Clock	CLOCK
Babam2	BABAM2
Prdx6	PRDX6
Ier2	IER2
Pitpnm1	PITPNM1
Rab36	RAB36
Sec24c	SEC24C
Cfap410	CFAP410
Capzb	CAPZB
Cd8b1	CD8B
Cdh15	CDH15
Cdk5	CDK5
Ctns	CTNS
Dapk1	DAPK1
Ddx1	DDX1
Dhx8	DHX8
Dnase1l3	DNASE1L3
Epyc	EPYC
Efna3	EFNA3
Etv1	ETV1
Mtor	MTOR
Nr5a1	NR5A1
Gdf10	GDF10
Gucy2c	GUCY2C
Hmgn1	HMGN1
Ibsp	IBSP
Ide	IDE
Kcnc3	KCNC3
Kcnj4	KCNJ4
Kcnj8	KCNJ8
Mecp2	MECP2
Atxn3	ATXN3
Mmp9	MMP9
Mybph	MYBPH
Ndufa5	NDUFA5
Ndufa9	NDUFA9
Ndufb8	NDUFB8
Ndufb9	NDUFB9
Ndufs1	NDUFS1
Nfkbil1	NFKBIL1
Snu13	SNU13
Nme4	NME4
Nrf1	NRF1
Ror1	ROR1
Nucb2	NUCB2
Omd	OMD
Pcyt1a	PCYT1A
Pdcd1	PDCD1
Pde1c	PDE1C
Enpp3	ENPP3
Pfn1	PFN1
Pggt1b	PGGT1B
Pik3cd	PIK3CD
Pik3r2	PIK3R2
Pitx3	PITX3
Plk1	PLK1
Fxyd1	FXYD1
Exosc9	EXOSC9
Prf1	PRF1
Reln	RELN
Pth2r	PTH2R
Abcd4	ABCD4
Rapsn	RAPSN
Rbbp5	RBBP5
Sfpq	SFPQ
Sim1	SIM1
Sim2	SIM2
Cntn2	CNTN2
Xbp1	XBP1
Zfp142	ZNF142
Pla2g7	PLA2G7
Sspn	SSPN
Pla2g4b	PLA2G4B
Tnfsf18	TNFSF18
Cbfa2t2	CBFA2T2
Zmym3	ZMYM3
Lgi1	LGI1
Msc	MSC
Akap12	AKAP12
Fez2	FEZ2
Rbm8a	RBM8A
Exog	EXOG
Xylb	XYLB
Cryzl1	CRYZL1
Hs3st1	HS3ST1
Mvp	MVP
Fgf15	FGF19
Tnfsf15	TNFSF15
Nr1i3	NR1I3
Nr1h4	NR1H4
Ccs	CCS
Nr1d2	NR1D2
Fgfbp1	FGFBP1
Rec8	REC8
Rce1	RCE1
Fgb	FGB
Cblif	CBLIF
Hr	HR
Unc119	UNC119
Tbx19	TBX19
Usp14	USP14
Usp8	USP8
Abl1	ABL1
Aplnr	APLNR
Akt1	AKT1
Ascl2	ASCL2
Atp5c1	ATP5F1C
Atp6v0a1	ATP6V0A1
Bmi1	COMMD3-BMI1
Capn1	CAPN1
Runx1t1	RUNX1T1
Cbl	CBL
Ccnc	CCNC
Cd80	CD80
Cdkn3	CDKN3
Cdx4	CDX4
Cebpb	CEBPB
Cebpd	CEBPD
Chrng	CHRNG
Map3k8	MAP3K8
Cryba1	CRYBA1
Crygb	CRYGB
Csf1r	CSF1R
Csn3	CSN3
Ctla4	CTLA4
Ddost	DDOST
Dlx5	DLX5
Dnase1	DNASE1
E2f1	E2F1
S1pr3	S1PR3
Efna4	EFNA4
Elk1	ELK1
Elk3	ELK3
Cttn	CTTN
Epha1	EPHA1
Ercc4	ERCC4
Ets1	ETS1
Ets2	ETS2
Fgf3	FGF3
Fgr	FGR
Foxg1	FOXG1
Fos	FOS
Fosl2	FOSL2
Gak	GAK
Gchfr	GCHFR
Mstn	MSTN
Gdf9	GDF9
Gfi1	GFI1
Gfra1	GFRA1
Gja5	GJA5
Gja8	GJA8
Gjb5	GJB5
Gli1	GLI1
Gnl1	GNL1
Gpm6a	GPM6A
Gpr4	GPR4
Gpr12	GPR12
Gpr15	GPR15
Gpr20	GPR20
Lpar4	LPAR4
Gpr25	GPR25
Gpr35	GPR35
Gpr37	GPR37
Ffar1	FFAR1
Grk5	GRK5
Grb7	GRB7
Grb10	GRB10
Gsc2	GSC2
Gtf2h1	GTF2H1
H1f6	H1-6
Hagh	HAGH
Has2	HAS2
Hbq1b	HBQ1
Hccs	HCCS
Hcfc1	HCFC1
Nckap1l	NCKAP1L
Ube2k	UBE2K
Hint1	HINT1
Zbtb48	ZBTB48
Hspa5	HSPA5
Jund	JUND
Lck	LCK
Lipe	LIPE
Mb	MB
Mcf2	MCF2
Mettl1	METTL1
Mos	MOS
Mpp2	MPP2
Mycl	MYCL
Mycn	MYCN
Neu2	NEU2
Nfil3	NFIL3
Phf2	PHF2
Pnliprp2	PNLIPRP2
Ppp1r3c	PPP1R3C
Ptpn14	PTPN14
Rala	RALA
Selenop	SELENOP
Sftpa1	SFTPA1
Six3	SIX3
Skil	SKIL
St5	DENND2B
Stat2	STAT2
Tal2	TAL2
Tecta	TECTA
Tff2	TFF2
Tie1	TIE1
Trp53bp2	TP53BP2
Trp73	TP73
Vav1	VAV1
Vegfc	VEGFC
Wnt1	WNT1
Xrcc2	XRCC2
Mall	MALL
Fosl1	FOSL1
Mlf2	MLF2
Eomes	EOMES
Cnot9	CNOT9
Smc3	SMC3
P2rx6	P2RX6
Rassf9	RASSF9
Bmp15	BMP15
Nog	NOG
Pdlim7	PDLIM7
Wdr46	WDR46
Zbtb22	ZBTB22
Cer1	CER1
Sncaip	SNCAIP
Med6	MED6
Acot8	ACOT8
Kcne3	KCNE3
Hdac5	HDAC5
Gne	GNE
Hcn4	HCN4
Frat1	FRAT1
Pigk	PIGK
Chaf1a	CHAF1A
Parp2	PARP2
Parp3	PARP3
Hmgxb4	HMGXB4
Cst8	CST8
Smc4	SMC4
Gjc1	GJC1
Ap1m1	AP1M1
Uba2	UBA2
Sae1	SAE1
Apba2	APBA2
Mlana	MLANA
Lrrc32	LRRC32
Tlx1	TLX1
Hoxa1	HOXA1
Hoxa11	HOXA11
Idh3a	IDH3A
Ifi35	IFI35
Ifngr2	IFNGR2
Il12rb1	IL12RB1
Impa1	IMPA1
Inpp5a	INPP5A
Inpp5d	INPP5D
Insig1	INSIG1
Insl3	INSL3
Irs1	IRS1
Islr	ISLR
Itk	ITK
Kars	KARS1
Kcna10	KCNA10
Klc1	KLC1
Krt7	KRT7
Lad1	LAD1
Lama5	LAMA5
Lamp1	LAMP1
Lamc2	LAMC2
Stmn1	STMN1
Lcn2	LCN2
Lcp2	LCP2
Lgals3bp	LGALS3BP
Lhx1	LHX1
Lman1	LMAN1
Lmo2	LMO2
Loxl1	LOXL1
Lpp	LPP
Cd180	CD180
Lyl1	LYL1
Smad6	SMAD6
Mef2a	MEF2A
Aldh6a1	ALDH6A1
Mre11a	MRE11
Musk	MUSK
Myf5	MYF5
Nfia	NFIA
Nfib	NFIB
Nfic	NFIC
Nhlh1	NHLH1
Nhlh2	NHLH2
Nit1	NIT1
Nkg7	NKG7
Cldn11	CLDN11
Pou3f2	POU3F2
Rbl2	RBL2
Rest	REST
Rgs4	RGS4
Rnase6	RNASE6
Dll1	DLL1
Ccl25	CCL25
Sdcbp	SDCBP
Slc6a8	SLC6A8
Smo	SMO
Sos1	SOS1
Sox3	SOX3
Vamp7	VAMP7
Syt1	SYT1
Taf13	TAF13
Tbl1x	TBL1X
Tcf20	TCF20
Tdo2	TDO2
Terf2	TERF2
Tfcp2	TFCP2
Klf10	KLF10
Tmprss2	TMPRSS2
Trp53bp1	TP53BP1
Traf1	TRAF1
Mkrn3	MKRN3
Rnf103	RNF103
St8sia4	ST8SIA4
Ubxn8	UBXN8
Psca	PSCA
Taf1a	TAF1A
Adgrg1	ADGRG1
Gtf2ird1	GTF2IRD1
Sox13	SOX13
Farsb	FARSB
Scamp2	SCAMP2
Scamp3	SCAMP3
Snupn	SNUPN
Eral1	ERAL1
Ptpru	PTPRU
Tssc4	TSSC4
Pdcd7	PDCD7
Pqbp1	PQBP1
Col4a3bp	CERT1
Ust	UST
Arpc5	ARPC5
Arpc4	ARPC4
Arpc3	ARPC3
Arpc1b	ARPC1B
Actr3b	ACTR3B
Actr2	ACTR2
Tspan5	TSPAN5
Tsfm	TSFM
Arpc2	ARPC2
Arl4c	ARL4C
Arl4a	ARL4A
Rasgrp1	RASGRP1
Zfp263	ZNF263
Pdia6	PDIA6
Nampt	NAMPT
Clec3a	CLEC3A
Ebi3	EBI3
Adgrg2	ADGRG2
Abi2	ABI2
Cebpz	CEBPZ
Plxnc1	PLXNC1
Aass	AASS
Pdzk1ip1	PDZK1IP1
Chst4	CHST4
Rcl1	RCL1
Sorbs3	SORBS3
Cnih1	CNIH1
Lhfpl2	LHFPL2
Lhfp	LHFPL6
Tnk2	TNK2
Txndc9	TXNDC9
Rnf41	RNF41
Tshz1	TSHZ1
Alg3	ALG3
Nme6	NME6
Trim13	TRIM13
Uspl1	USPL1
Topors	TOPORS
Psmd14	PSMD14
Olig2	OLIG2
Klrg1	KLRG1
Gpa33	GPA33
Plin3	PLIN3
Msln	MSLN
Rasgrp2	RASGRP2
Hnrnpr	HNRNPR
Slc35b1	SLC35B1
Ap3s1	AP3S1
Mrps31	MRPS31
Kcnmb2	KCNMB2
Slc17a2	SLC17A2
Rida	RIDA
Pop7	POP7
Spry3	SPRY3
Spry1	SPRY1
Spry2	SPRY2
Cdk2ap2	CDK2AP2
Ramp2	RAMP2
Ramp1	RAMP1
Ramp3	RAMP3
Zmpste24	ZMPSTE24
Akap8	AKAP8
Pura	PURA
Fstl3	FSTL3
Stub1	STUB1
Net1	NET1
Efs	EFS
Smndc1	SMNDC1
Bcas2	BCAS2
Sf3a1	SF3A1
Maea	MAEA
Apc2	APC2
Pak4	PAK4
March6	MARCHF6
Katnb1	KATNB1
Ccin	CCIN
Golga3	GOLGA3
Ipp	IPP
Caprin1	CAPRIN1
Smad5	SMAD5
Smad7	SMAD7
Man1a	MAN1A1
Manba	MANBA
Mc4r	MC4R
Mc5r	MC5R
Mcm6	MCM6
Mcm7	MCM7
Mdh1	MDH1
Mef2d	MEF2D
Meox2	MEOX2
Mfap3	MFAP3
Mfge8	MFGE8
Meltf	MELTF
Mipep	MIPEP
Kmt2a	KMT2A
Mllt1	MLLT1
Aff1	AFF1
Foxo4	FOXO4
Cd200	CD200
Mtf1	MTF1
Mthfr	MTHFR
Mtnr1b	MTNR1B
Mxi1	MXI1
Nab1	NAB1
Nab2	NAB2
Hnrnpm	HNRNPM
Fxyd3	FXYD3
Tspan31	TSPAN31
Six1	SIX1
Snai1	SNAI1
Tbcd	TBCD
Tbx3	TBX3
Cct3	CCT3
Tsnax	TSNAX
Uchl3	UCHL3
Uqcrfs1	UQCRFS1
Wfs1	WFS1
Manf	MANF
St8sia2	ST8SIA2
Clpp	CLPP
Prom1	PROM1
Hcar2	HCAR2
Tcirg1	TCIRG1
Alkbh1	ALKBH1
Cdc123	CDC123
Tax1bp1	TAX1BP1
H1f10	H1-10
Pnma1	PNMA1
Cacna2d2	CACNA2D2
Trp53i11	TP53I11
Spata2	SPATA2
Mrc2	MRC2
Snapc5	SNAPC5
Vps26c	VPS26C
Lancl1	LANCL1
Klhl41	KLHL41
Emc8	EMC8
Mrvi1	MRVI1
Tfg	TFG
Pkdrej	PKDREJ
Agfg2	AGFG2
